name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
HD 24064 b,988,12.89 Jupiters,6.75,2015
HD 24085 b,179,11.8 Earths,7.564,2019
HD 25015 b,122,4.48 Jupiters,8.87,2019
HD 25171 b,182,0.915 Jupiters,7.782,2010
HD 2638 b,180,0.42 Jupiters,9.375,2005
HD 2685 b,646,1.17 Jupiters,9.52,2019
HD 26965 b,16,8.47 Earths,4.43,2018
HD 27442 b,60,1.56 Jupiters,4.44,2000
HD 27631 b,164,1.494 Jupiters,8.243,2012
HD 2952 b,360,1.37 Jupiters,5.922,2013
HD 30177 b,182,8.622 Jupiters,8.397,2002
HD 30177 c,182,7.6 Jupiters,8.397,2016
HD 30562 b,85,1.22 Jupiters,5.78,2009
HD 30669 b,186,0.47 Jupiters,9.11,2014
HD 30856 b,430,1.547 Jupiters,7.91,2011
HD 31253 b,190,0.62 Jupiters,7.133,2010
HD 31527 b,126,10.47 Earths,7.49,2019
HD 31527 c,126,14.16 Earths,7.49,2019
HD 31527 d,126,11.82 Earths,7.49,2019
HD 2952 b,360,1.37 Jupiters,5.922,2013
HD 30177 b,182,8.622 Jupiters,8.397,2002
HD 30177 c,182,7.6 Jupiters,8.397,2016
HD 30562 b,85,1.22 Jupiters,5.78,2009
HD 30669 b,186,0.47 Jupiters,9.11,2014
HD 30856 b,430,1.547 Jupiters,7.91,2011
HD 31253 b,190,0.62 Jupiters,7.133,2010
HD 31527 b,126,10.47 Earths,7.49,2019
HD 31527 c,126,14.16 Earths,7.49,2019
HD 31527 d,126,11.82 Earths,7.49,2019
HD 2952 b,360,1.37 Jupiters,5.922,2013
HD 30177 b,182,8.622 Jupiters,8.397,2002
HD 30177 c,182,7.6 Jupiters,8.397,2016
HD 30562 b,85,1.22 Jupiters,5.78,2009
HD 30669 b,186,0.47 Jupiters,9.11,2014
HD 30856 b,430,1.547 Jupiters,7.91,2011
HD 31253 b,190,0.62 Jupiters,7.133,2010
HD 31527 b,126,10.47 Earths,7.49,2019
HD 31527 c,126,14.16 Earths,7.49,2019
HD 31527 d,126,11.82 Earths,7.49,2019
HD 2952 b,360,1.37 Jupiters,5.922,2013
HD 30177 b,182,8.622 Jupiters,8.397,2002
HD 30177 c,182,7.6 Jupiters,8.397,2016
HD 30562 b,85,1.22 Jupiters,5.78,2009
HD 30669 b,186,0.47 Jupiters,9.11,2014
HD 30856 b,430,1.547 Jupiters,7.91,2011
HD 31253 b,190,0.62 Jupiters,7.133,2010
HD 31527 b,126,10.47 Earths,7.49,2019
HD 31527 c,126,14.16 Earths,7.49,2019
HD 31527 d,126,11.82 Earths,7.49,2019
HD 2952 b,360,1.37 Jupiters,5.922,2013
HD 30177 b,182,8.622 Jupiters,8.397,2002
HD 30177 c,182,7.6 Jupiters,8.397,2016
HD 30562 b,85,1.22 Jupiters,5.78,2009
HD 30669 b,186,0.47 Jupiters,9.11,2014
HD 30856 b,430,1.547 Jupiters,7.91,2011
HD 31253 b,190,0.62 Jupiters,7.133,2010
HD 31527 b,126,10.47 Earths,7.49,2019
HD 31527 c,126,14.16 Earths,7.49,2019
HD 31527 d,126,11.82 Earths,7.49,2019
HD 3167 b,154,5.02 Earths,8.94,2016
HD 3167 c,154,9.8 Earths,8.94,2016
HD 3167 d,154,6.9 Earths,8.94,2017
HD 32518 b,400,3.04 Jupiters,6.421,2009
HD 32963 b,124,0.7 Jupiters,7.6,2015
HD 330075 b,148,0.48 Jupiters,9.334,2004
HD 33142 b,397,1.385 Jupiters,7.96,2011
HD 33142 c,397,5.97 Jupiters,7.96,2018
HD 332231 b,264,0.244 Jupiters,8.56,2020
HD 33283 b,294,0.329 Jupiters,8.05,2006
HD 33564 b,68,9.1 Jupiters,5.08,2005
HD 33844 b,346,2.01 Jupiters,7.286,2015
HD 33844 c,346,1.75 Jupiters,7.286,2015
HD 34445 b,151,0.82 Jupiters,7.328,2009
HD 34445 c,151,0.168 Jupiters,7.328,2017
HD 34445 d,151,30.7 Earths,7.328,2017
HD 34445 e,151,16.8 Earths,7.328,2017
HD 34445 f,151,37.9 Earths,7.328,2017
HD 34445 g,151,0.38 Jupiters,7.328,2017
HD 35759 b,236,3.76 Jupiters,7.74,2016
HD 3651 b,36,0.228 Jupiters,5.86,2003
HD 37124 b,103,0.675 Jupiters,7.7,2002
HD 37124 c,103,0.652 Jupiters,7.7,2002
HD 37124 d,103,0.696 Jupiters,7.7,2005
HD 37605 b,153,2.69 Jupiters,8.67,2004
HD 37605 c,153,3.19 Jupiters,8.67,2012
HD 38283 b,124,0.4 Jupiters,6.696,2010
HD 38529 b,138,0.797 Jupiters,5.95,2000
HD 38529 c,138,12.99 Jupiters,5.95,2000
HD 38801 b,299,9.698 Jupiters,8.224,2009
HD 3651 b,36,0.228 Jupiters,5.86,2003
HD 37124 b,103,0.675 Jupiters,7.7,2002
HD 37124 c,103,0.652 Jupiters,7.7,2002
HD 37124 d,103,0.696 Jupiters,7.7,2005
HD 37605 b,153,2.69 Jupiters,8.67,2004
HD 37605 c,153,3.19 Jupiters,8.67,2012
HD 38283 b,124,0.4 Jupiters,6.696,2010
HD 38529 b,138,0.797 Jupiters,5.95,2000
HD 38529 c,138,12.99 Jupiters,5.95,2000
HD 38801 b,299,9.698 Jupiters,8.224,2009
HD 3651 b,36,0.228 Jupiters,5.86,2003
HD 37124 b,103,0.675 Jupiters,7.7,2002
HD 37124 c,103,0.652 Jupiters,7.7,2002
HD 37124 d,103,0.696 Jupiters,7.7,2005
HD 37605 b,153,2.69 Jupiters,8.67,2004
HD 37605 c,153,3.19 Jupiters,8.67,2012
HD 38283 b,124,0.4 Jupiters,6.696,2010
HD 38529 b,138,0.797 Jupiters,5.95,2000
HD 38529 c,138,12.99 Jupiters,5.95,2000
HD 38801 b,299,9.698 Jupiters,8.224,2009
HD 3651 b,36,0.228 Jupiters,5.86,2003
HD 37124 b,103,0.675 Jupiters,7.7,2002
HD 37124 c,103,0.652 Jupiters,7.7,2002
HD 37124 d,103,0.696 Jupiters,7.7,2005
HD 37605 b,153,2.69 Jupiters,8.67,2004
HD 37605 c,153,3.19 Jupiters,8.67,2012
HD 38283 b,124,0.4 Jupiters,6.696,2010
HD 38529 b,138,0.797 Jupiters,5.95,2000
HD 38529 c,138,12.99 Jupiters,5.95,2000
HD 38801 b,299,9.698 Jupiters,8.224,2009
HD 39091 b,60,12.9 Jupiters,5.67,2001
HD 39855 b,76,8.5 Earths,7.47,2019
HD 40307 b,42,4 Earths,7.17,2009
HD 40307 c,42,6.6 Earths,7.17,2009
HD 40307 d,42,9.5 Earths,7.17,2009
HD 40307 f,42,5.2 Earths,7.17,2013
HD 40307 g,42,7.1 Earths,7.17,2013
HD 40956 b,382,2.7 Jupiters,6.423,2017
HD 40979 b,111,4.67 Jupiters,6.735,2002
HD 41004 A b,140,2.54 Jupiters,8.65,2004
HD 39091 b,60,12.9 Jupiters,5.67,2001
HD 39855 b,76,8.5 Earths,7.47,2019
HD 40307 b,42,4 Earths,7.17,2009
HD 40307 c,42,6.6 Earths,7.17,2009
HD 40307 d,42,9.5 Earths,7.17,2009
HD 40307 f,42,5.2 Earths,7.17,2013
HD 40307 g,42,7.1 Earths,7.17,2013
HD 40956 b,382,2.7 Jupiters,6.423,2017
HD 40979 b,111,4.67 Jupiters,6.735,2002
HD 41004 A b,140,2.54 Jupiters,8.65,2004
HD 39091 b,60,12.9 Jupiters,5.67,2001
HD 39855 b,76,8.5 Earths,7.47,2019
HD 40307 b,42,4 Earths,7.17,2009
HD 40307 c,42,6.6 Earths,7.17,2009
HD 40307 d,42,9.5 Earths,7.17,2009
HD 40307 f,42,5.2 Earths,7.17,2013
HD 40307 g,42,7.1 Earths,7.17,2013
HD 40956 b,382,2.7 Jupiters,6.423,2017
HD 40979 b,111,4.67 Jupiters,6.735,2002
HD 41004 A b,140,2.54 Jupiters,8.65,2004
HD 39091 b,60,12.9 Jupiters,5.67,2001
HD 39855 b,76,8.5 Earths,7.47,2019
HD 40307 b,42,4 Earths,7.17,2009
HD 40307 c,42,6.6 Earths,7.17,2009
HD 40307 d,42,9.5 Earths,7.17,2009
HD 40307 f,42,5.2 Earths,7.17,2013
HD 40307 g,42,7.1 Earths,7.17,2013
HD 40956 b,382,2.7 Jupiters,6.423,2017
HD 40979 b,111,4.67 Jupiters,6.735,2002
HD 41004 A b,140,2.54 Jupiters,8.65,2004
HD 41004 B b,140,18.37 Jupiters,,2003
HD 4113 b,137,1.56 Jupiters,7.881,2007
HD 42012 b,120,1.6 Jupiters,8.44,2017
HD 4203 b,266,2.23 Jupiters,8.687,2001
HD 4203 c,266,2.17 Jupiters,8.687,2014
HD 4208 b,112,0.81 Jupiters,7.795,2001
HD 42618 b,79,14.4 Earths,6.839,2016
HD 4308 b,72,15.8915 Earths,6.56,2005
HD 4313 b,446,1.927 Jupiters,7.83,2009
HD 43197 b,184,0.6 Jupiters,8.98,2010
HD 43691 b,280,2.55 Jupiters,8.03,2007
HD 44219 b,164,0.58 Jupiters,7.69,2010
HD 45184 b,71,12.19 Earths,6.37,2019
HD 45184 c,71,8.81 Earths,6.37,2019
HD 45350 b,153,1.79 Jupiters,7.885,2004
HD 45364 b,112,0.1872 Jupiters,8.062,2008
HD 45364 c,112,0.6579 Jupiters,8.062,2008
HD 45652 b,114,0.433 Jupiters,8.1,2008
HD 46375 b,96,0.226 Jupiters,7.912,2000
HD 47186 b,122,22.2481 Earths,7.626,2008
HD 47186 c,122,0.35061 Jupiters,7.626,2008
HD 4732 b,179,2.37 Jupiters,5.89,2012
HD 4732 c,179,2.37 Jupiters,5.89,2012
HD 47366 b,276,2.3 Jupiters,6.11,2016
HD 47366 c,276,1.88 Jupiters,6.11,2016
HD 47536 b,401,7.32 Jupiters,5.25,2002
HD 48265 b,296,1.525 Jupiters,8.051,2008
HD 4917 b,670,1.615 Jupiters,8.03,2018
HD 49674 b,141,31.783 Earths,8.1,2002
HD 50499 b,151,1.636 Jupiters,7.207,2005
HD 47186 c,122,0.35061 Jupiters,7.626,2008
HD 4732 b,179,2.37 Jupiters,5.89,2012
HD 4732 c,179,2.37 Jupiters,5.89,2012
HD 47366 b,276,2.3 Jupiters,6.11,2016
HD 47366 c,276,1.88 Jupiters,6.11,2016
HD 47536 b,401,7.32 Jupiters,5.25,2002
HD 48265 b,296,1.525 Jupiters,8.051,2008
HD 4917 b,670,1.615 Jupiters,8.03,2018
HD 49674 b,141,31.783 Earths,8.1,2002
HD 50499 b,151,1.636 Jupiters,7.207,2005
HD 47186 c,122,0.35061 Jupiters,7.626,2008
HD 4732 b,179,2.37 Jupiters,5.89,2012
HD 4732 c,179,2.37 Jupiters,5.89,2012
HD 47366 b,276,2.3 Jupiters,6.11,2016
HD 47366 c,276,1.88 Jupiters,6.11,2016
HD 47536 b,401,7.32 Jupiters,5.25,2002
HD 48265 b,296,1.525 Jupiters,8.051,2008
HD 4917 b,670,1.615 Jupiters,8.03,2018
HD 49674 b,141,31.783 Earths,8.1,2002
HD 50499 b,151,1.636 Jupiters,7.207,2005
HD 50499 c,151,2.93 Jupiters,7.207,2019
HD 50554 b,102,4.954 Jupiters,6.84,2002
HD 51608 b,114,12.77 Earths,8.17,2019
HD 51608 c,114,14.31 Earths,8.17,2019
HD 52265 b,98,1.21 Jupiters,6.3,2000
HD 5319 b,397,1.556 Jupiters,8.05,2007
HD 5319 c,397,1.053 Jupiters,8.05,2014
HD 55696 b,255,3.87 Jupiters,7.95,2018
HD 5583 b,721,5.78 Jupiters,7.6,2016
HD 5608 b,190,1.681 Jupiters,5.99,2012
HD 50499 c,151,2.93 Jupiters,7.207,2019
HD 50554 b,102,4.954 Jupiters,6.84,2002
HD 51608 b,114,12.77 Earths,8.17,2019
HD 51608 c,114,14.31 Earths,8.17,2019
HD 52265 b,98,1.21 Jupiters,6.3,2000
HD 5319 b,397,1.556 Jupiters,8.05,2007
HD 5319 c,397,1.053 Jupiters,8.05,2014
HD 55696 b,255,3.87 Jupiters,7.95,2018
HD 5583 b,721,5.78 Jupiters,7.6,2016
HD 5608 b,190,1.681 Jupiters,5.99,2012
HD 50499 c,151,2.93 Jupiters,7.207,2019
HD 50554 b,102,4.954 Jupiters,6.84,2002
HD 51608 b,114,12.77 Earths,8.17,2019
HD 51608 c,114,14.31 Earths,8.17,2019
HD 52265 b,98,1.21 Jupiters,6.3,2000
HD 5319 b,397,1.556 Jupiters,8.05,2007
HD 5319 c,397,1.053 Jupiters,8.05,2014
HD 55696 b,255,3.87 Jupiters,7.95,2018
HD 5583 b,721,5.78 Jupiters,7.6,2016
HD 5608 b,190,1.681 Jupiters,5.99,2012
HD 564 b,175,0.33 Jupiters,8.29,2014
HD 5891 b,932,7.63 Jupiters,8.25,2011
HD 59686 A b,316,6.92 Jupiters,5.442,2016
HD 60532 b,85,1.06 Jupiters,4.44,2008
HD 60532 c,85,2.51 Jupiters,4.44,2008
HD 62509 b,34,2.3 Jupiters,1.14,2006
HD 63454 b,123,0.25 Jupiters,9.37,2005
HD 63765 b,106,0.53 Jupiters,8.1,2009
HD 64114 b,103,17.8 Earths,7.718,2019
HD 6434 b,138,0.49 Jupiters,7.71,2003
HD 65216 b,115,1.295 Jupiters,7.964,2003
HD 65216 c,115,2.03 Jupiters,7.964,2013
HD 66141 b,222,6 Jupiters,4.38,2012
HD 66428 b,174,3.204 Jupiters,8.246,2005
HD 67087 b,250,3.06 Jupiters,8.05,2015
HD 67087 c,250,4.85 Jupiters,8.05,2015
HD 6718 b,168,1.68 Jupiters,8.45,2009
HD 68402 b,256,3.07 Jupiters,9.11,2016
HD 68988 b,199,1.97 Jupiters,8.2,2001
HD 69830 b,41,10.2 Earths,6,2006
HD 65216 b,115,1.295 Jupiters,7.964,2003
HD 65216 c,115,2.03 Jupiters,7.964,2013
HD 66141 b,222,6 Jupiters,4.38,2012
HD 66428 b,174,3.204 Jupiters,8.246,2005
HD 67087 b,250,3.06 Jupiters,8.05,2015
HD 67087 c,250,4.85 Jupiters,8.05,2015
HD 6718 b,168,1.68 Jupiters,8.45,2009
HD 68402 b,256,3.07 Jupiters,9.11,2016
HD 68988 b,199,1.97 Jupiters,8.2,2001
HD 69830 b,41,10.2 Earths,6,2006
HD 69830 c,41,11.8 Earths,6,2006
HD 69830 d,41,18.1 Earths,6,2006
HD 70573 b,149,6.1 Jupiters,11.424,2007
HD 70642 b,96,1.993 Jupiters,7.169,2003
HD 7199 b,118,0.27 Jupiters,8.027,2011
HD 72490 b,414,1.768 Jupiters,7.82,2018
HD 72659 b,170,3.85 Jupiters,7.46,2002
HD 72892 b,228,5.45 Jupiters,8.83,2016
HD 73267 b,179,3.097 Jupiters,8.889,2008
HD 73526 b,318,3.08 Jupiters,8.971,2002
HD 69830 c,41,11.8 Earths,6,2006
HD 69830 d,41,18.1 Earths,6,2006
HD 70573 b,149,6.1 Jupiters,11.424,2007
HD 70642 b,96,1.993 Jupiters,7.169,2003
HD 7199 b,118,0.27 Jupiters,8.027,2011
HD 72490 b,414,1.768 Jupiters,7.82,2018
HD 72659 b,170,3.85 Jupiters,7.46,2002
HD 72892 b,228,5.45 Jupiters,8.83,2016
HD 73267 b,179,3.097 Jupiters,8.889,2008
HD 73526 b,318,3.08 Jupiters,8.971,2002
HD 69830 c,41,11.8 Earths,6,2006
HD 69830 d,41,18.1 Earths,6,2006
HD 70573 b,149,6.1 Jupiters,11.424,2007
HD 70642 b,96,1.993 Jupiters,7.169,2003
HD 7199 b,118,0.27 Jupiters,8.027,2011
HD 72490 b,414,1.768 Jupiters,7.82,2018
HD 72659 b,170,3.85 Jupiters,7.46,2002
HD 72892 b,228,5.45 Jupiters,8.83,2016
HD 73267 b,179,3.097 Jupiters,8.889,2008
HD 73526 b,318,3.08 Jupiters,8.971,2002
HD 69830 c,41,11.8 Earths,6,2006
HD 69830 d,41,18.1 Earths,6,2006
HD 70573 b,149,6.1 Jupiters,11.424,2007
HD 70642 b,96,1.993 Jupiters,7.169,2003
HD 7199 b,118,0.27 Jupiters,8.027,2011
HD 72490 b,414,1.768 Jupiters,7.82,2018
HD 72659 b,170,3.85 Jupiters,7.46,2002
HD 72892 b,228,5.45 Jupiters,8.83,2016
HD 73267 b,179,3.097 Jupiters,8.889,2008
HD 73526 b,318,3.08 Jupiters,8.971,2002
HD 69830 c,41,11.8 Earths,6,2006
HD 69830 d,41,18.1 Earths,6,2006
HD 70573 b,149,6.1 Jupiters,11.424,2007
HD 70642 b,96,1.993 Jupiters,7.169,2003
HD 7199 b,118,0.27 Jupiters,8.027,2011
HD 72490 b,414,1.768 Jupiters,7.82,2018
HD 72659 b,170,3.85 Jupiters,7.46,2002
HD 72892 b,228,5.45 Jupiters,8.83,2016
HD 73267 b,179,3.097 Jupiters,8.889,2008
HD 73526 b,318,3.08 Jupiters,8.971,2002
HD 73526 c,318,2.25 Jupiters,8.971,2005
HD 73534 b,272,1.112 Jupiters,8.23,2008
HD 74156 b,211,1.8 Jupiters,7.614,2003
HD 74156 c,211,8.06 Jupiters,7.614,2003
HD 7449 b,126,0.508 Jupiters,7.483,2011
HD 75289 b,95,0.49 Jupiters,6.35,1999
HD 75784 b,279,1 Jupiter,7.84,2014
HD 75784 c,279,5.64 Jupiters,7.84,2018
HD 75898 b,255,2.71 Jupiters,8.03,2007
HD 76700 b,199,0.21 Jupiters,8.155,2002
HD 73526 c,318,2.25 Jupiters,8.971,2005
HD 73534 b,272,1.112 Jupiters,8.23,2008
HD 74156 b,211,1.8 Jupiters,7.614,2003
HD 74156 c,211,8.06 Jupiters,7.614,2003
HD 7449 b,126,0.508 Jupiters,7.483,2011
HD 75289 b,95,0.49 Jupiters,6.35,1999
HD 75784 b,279,1 Jupiter,7.84,2014
HD 75784 c,279,5.64 Jupiters,7.84,2018
HD 75898 b,255,2.71 Jupiters,8.03,2007
HD 76700 b,199,0.21 Jupiters,8.155,2002
HD 73526 c,318,2.25 Jupiters,8.971,2005
HD 73534 b,272,1.112 Jupiters,8.23,2008
HD 74156 b,211,1.8 Jupiters,7.614,2003
HD 74156 c,211,8.06 Jupiters,7.614,2003
HD 7449 b,126,0.508 Jupiters,7.483,2011
HD 75289 b,95,0.49 Jupiters,6.35,1999
HD 75784 b,279,1 Jupiter,7.84,2014
HD 75784 c,279,5.64 Jupiters,7.84,2018
HD 75898 b,255,2.71 Jupiters,8.03,2007
HD 76700 b,199,0.21 Jupiters,8.155,2002
HD 73526 c,318,2.25 Jupiters,8.971,2005
HD 73534 b,272,1.112 Jupiters,8.23,2008
HD 74156 b,211,1.8 Jupiters,7.614,2003
HD 74156 c,211,8.06 Jupiters,7.614,2003
HD 7449 b,126,0.508 Jupiters,7.483,2011
HD 75289 b,95,0.49 Jupiters,6.35,1999
HD 75784 b,279,1 Jupiter,7.84,2014
HD 75784 c,279,5.64 Jupiters,7.84,2018
HD 75898 b,255,2.71 Jupiters,8.03,2007
HD 76700 b,199,0.21 Jupiters,8.155,2002
HD 81817 b,877,27.1 Jupiters,4.3,2020
HD 82886 b,416,2.33 Jupiters,7.78,2011
HD 82943 b,90,1.681 Jupiters,6.53,2003
HD 82943 c,90,1.959 Jupiters,6.53,2003
HD 8326 b,100,0.20955 Jupiters,8.76,2019
HD 83443 b,134,0.34 Jupiters,8.222,2002
HD 8535 b,171,0.68 Jupiters,7.7,2010
HD 85390 b,109,31.46517 Earths,8.526,2009
HD 85512 b,37,3.1783 Earths,7.67,2011
HD 8574 b,146,2.03 Jupiters,7.112,2002
HD 89345 b,433,34.9613 Earths,9.376,2018
HD 89744 b,126,8.35 Jupiters,5.72,1999
HD 90156 b,72,17.98 Earths,6.92,2009
HD 9174 b,266,1.11 Jupiters,8.4,2016
HD 92788 b,113,3.76 Jupiters,7.31,2000
HD 92788 c,113,3.67 Jupiters,7.31,2019
HD 92987 b,142,16.88 Jupiters,7.03,2019
HD 93083 b,93,0.37 Jupiters,8.3,2005
HD 9446 b,164,0.7 Jupiters,8.369,2009
HD 9446 c,164,1.82 Jupiters,8.369,2009
HD 89345 b,433,34.9613 Earths,9.376,2018
HD 89744 b,126,8.35 Jupiters,5.72,1999
HD 90156 b,72,17.98 Earths,6.92,2009
HD 9174 b,266,1.11 Jupiters,8.4,2016
HD 92788 b,113,3.76 Jupiters,7.31,2000
HD 92788 c,113,3.67 Jupiters,7.31,2019
HD 92987 b,142,16.88 Jupiters,7.03,2019
HD 93083 b,93,0.37 Jupiters,8.3,2005
HD 9446 b,164,0.7 Jupiters,8.369,2009
HD 9446 c,164,1.82 Jupiters,8.369,2009
HD 89345 b,433,34.9613 Earths,9.376,2018
HD 89744 b,126,8.35 Jupiters,5.72,1999
HD 90156 b,72,17.98 Earths,6.92,2009
HD 9174 b,266,1.11 Jupiters,8.4,2016
HD 92788 b,113,3.76 Jupiters,7.31,2000
HD 92788 c,113,3.67 Jupiters,7.31,2019
HD 92987 b,142,16.88 Jupiters,7.03,2019
HD 93083 b,93,0.37 Jupiters,8.3,2005
HD 9446 b,164,0.7 Jupiters,8.369,2009
HD 9446 c,164,1.82 Jupiters,8.369,2009
HD 89345 b,433,34.9613 Earths,9.376,2018
HD 89744 b,126,8.35 Jupiters,5.72,1999
HD 90156 b,72,17.98 Earths,6.92,2009
HD 9174 b,266,1.11 Jupiters,8.4,2016
HD 92788 b,113,3.76 Jupiters,7.31,2000
HD 92788 c,113,3.67 Jupiters,7.31,2019
HD 92987 b,142,16.88 Jupiters,7.03,2019
HD 93083 b,93,0.37 Jupiters,8.3,2005
HD 9446 b,164,0.7 Jupiters,8.369,2009
HD 9446 c,164,1.82 Jupiters,8.369,2009
HD 89345 b,433,34.9613 Earths,9.376,2018
HD 89744 b,126,8.35 Jupiters,5.72,1999
HD 90156 b,72,17.98 Earths,6.92,2009
HD 9174 b,266,1.11 Jupiters,8.4,2016
HD 92788 b,113,3.76 Jupiters,7.31,2000
HD 92788 c,113,3.67 Jupiters,7.31,2019
HD 92987 b,142,16.88 Jupiters,7.03,2019
HD 93083 b,93,0.37 Jupiters,8.3,2005
HD 9446 b,164,0.7 Jupiters,8.369,2009
HD 9446 c,164,1.82 Jupiters,8.369,2009
HD 89345 b,433,34.9613 Earths,9.376,2018
HD 89744 b,126,8.35 Jupiters,5.72,1999
HD 90156 b,72,17.98 Earths,6.92,2009
HD 9174 b,266,1.11 Jupiters,8.4,2016
HD 92788 b,113,3.76 Jupiters,7.31,2000
HD 92788 c,113,3.67 Jupiters,7.31,2019
HD 92987 b,142,16.88 Jupiters,7.03,2019
HD 93083 b,93,0.37 Jupiters,8.3,2005
HD 9446 b,164,0.7 Jupiters,8.369,2009
HD 9446 c,164,1.82 Jupiters,8.369,2009
HD 94834 b,321,1.26 Jupiters,7.6,2018
HD 95086 b,282,5 Jupiters,7.36,2013
HD 95089 b,448,1.26 Jupiters,7.92,2009
HD 95089 c,448,3.45 Jupiters,7.92,2018
HD 95127 b,2250,10.63 Jupiters,8.15,2015
HD 95338 b,121,0.13353 Jupiters,8.611,2020
HD 95872 b,236,3.74 Jupiters,9.895,2015
HD 96063 b,459,1.27 Jupiters,8.21,2011
HD 96127 b,1949,20.96 Jupiters,7.43,2011
HD 96167 b,279,0.717 Jupiters,8.09,2009
HD 97048 b,603,2.5 Jupiters,8.447,2019
HD 97658 b,70,9.5349 Earths,7.71,2010
HD 98219 b,372,1.964 Jupiters,8.05,2011
HD 98649 b,138,6.79 Jupiters,8,2012
HD 98736 b,106,2.33 Jupiters,7.93,2018
HD 99109 b,179,0.44 Jupiters,9.1,2005
HD 99492 b,59,22.2481 Earths,7.58,2004
HD 99706 b,480,1.23 Jupiters,7.65,2011
HD 99706 c,480,5.69 Jupiters,7.65,2018
HIP 105854 b,257,8.2 Jupiters,5.64,2014
HD 97048 b,603,2.5 Jupiters,8.447,2019
HD 97658 b,70,9.5349 Earths,7.71,2010
HD 98219 b,372,1.964 Jupiters,8.05,2011
HD 98649 b,138,6.79 Jupiters,8,2012
HD 98736 b,106,2.33 Jupiters,7.93,2018
HD 99109 b,179,0.44 Jupiters,9.1,2005
HD 99492 b,59,22.2481 Earths,7.58,2004
HD 99706 b,480,1.23 Jupiters,7.65,2011
HD 99706 c,480,5.69 Jupiters,7.65,2018
HIP 105854 b,257,8.2 Jupiters,5.64,2014
HIP 107772 b,77,12.9 Earths,10.54,2020
HIP 107773 b,338,1.98 Jupiters,5.62,2015
HIP 109384 b,183,1.56 Jupiters,9.63,2016
HIP 109600 b,191,2.68 Jupiters,9.16,2016
HIP 116454 b,204,12.7132 Earths,10.19,2014
HIP 12961 b,76,0.36 Jupiters,10.24,2010
HIP 14810 b,165,3.9 Jupiters,8.52,2005
HIP 14810 c,165,1.31 Jupiters,8.52,2006
HIP 14810 d,165,0.59 Jupiters,8.52,2009
HIP 35173 b,108,12.7 Earths,9.01,2019
HIP 107772 b,77,12.9 Earths,10.54,2020
HIP 107773 b,338,1.98 Jupiters,5.62,2015
HIP 109384 b,183,1.56 Jupiters,9.63,2016
HIP 109600 b,191,2.68 Jupiters,9.16,2016
HIP 116454 b,204,12.7132 Earths,10.19,2014
HIP 12961 b,76,0.36 Jupiters,10.24,2010
HIP 14810 b,165,3.9 Jupiters,8.52,2005
HIP 14810 c,165,1.31 Jupiters,8.52,2006
HIP 14810 d,165,0.59 Jupiters,8.52,2009
HIP 35173 b,108,12.7 Earths,9.01,2019
HIP 107772 b,77,12.9 Earths,10.54,2020
HIP 107773 b,338,1.98 Jupiters,5.62,2015
HIP 109384 b,183,1.56 Jupiters,9.63,2016
HIP 109600 b,191,2.68 Jupiters,9.16,2016
HIP 116454 b,204,12.7132 Earths,10.19,2014
HIP 12961 b,76,0.36 Jupiters,10.24,2010
HIP 14810 b,165,3.9 Jupiters,8.52,2005
HIP 14810 c,165,1.31 Jupiters,8.52,2006
HIP 14810 d,165,0.59 Jupiters,8.52,2009
HIP 35173 b,108,12.7 Earths,9.01,2019
HIP 38594 b,58,8.1 Earths,9.77,2020
HIP 38594 c,58,0.15228 Jupiters,9.77,2020
HIP 41378 b,348,8.75 Earths,8.93,2016
HIP 41378 c,348,7.08 Earths,8.93,2016
HIP 41378 d,348,14.9 Earths,8.93,2016
HIP 41378 e,348,26 Earths,8.93,2016
HIP 41378 f,348,0.233 Jupiters,8.93,2016
HIP 4845 b,69,14.4 Earths,9.99,2020
HIP 48714 b,34,22.9 Earths,8.97,2020
HIP 5158 b,169,1.42 Jupiters,10.167,2009
HIP 38594 b,58,8.1 Earths,9.77,2020
HIP 38594 c,58,0.15228 Jupiters,9.77,2020
HIP 41378 b,348,8.75 Earths,8.93,2016
HIP 41378 c,348,7.08 Earths,8.93,2016
HIP 41378 d,348,14.9 Earths,8.93,2016
HIP 41378 e,348,26 Earths,8.93,2016
HIP 41378 f,348,0.233 Jupiters,8.93,2016
HIP 4845 b,69,14.4 Earths,9.99,2020
HIP 48714 b,34,22.9 Earths,8.97,2020
HIP 5158 b,169,1.42 Jupiters,10.167,2009
HIP 38594 b,58,8.1 Earths,9.77,2020
HIP 38594 c,58,0.15228 Jupiters,9.77,2020
HIP 41378 b,348,8.75 Earths,8.93,2016
HIP 41378 c,348,7.08 Earths,8.93,2016
HIP 41378 d,348,14.9 Earths,8.93,2016
HIP 41378 e,348,26 Earths,8.93,2016
HIP 41378 f,348,0.233 Jupiters,8.93,2016
HIP 4845 b,69,14.4 Earths,9.99,2020
HIP 48714 b,34,22.9 Earths,8.97,2020
HIP 5158 b,169,1.42 Jupiters,10.167,2009
HIP 38594 b,58,8.1 Earths,9.77,2020
HIP 38594 c,58,0.15228 Jupiters,9.77,2020
HIP 41378 b,348,8.75 Earths,8.93,2016
HIP 41378 c,348,7.08 Earths,8.93,2016
HIP 41378 d,348,14.9 Earths,8.93,2016
HIP 41378 e,348,26 Earths,8.93,2016
